Consortia_Name,PracticeName,HRG,Specialty_Name,SLA_Total_Cost
H85016,Cannon Hill Lane Practice,"AA22Z - Non-Transient Stroke or Cerebrovascular Accident, Nervous system infections or Encephalopathy",400 - Neurology,"4,500.63"
H85018,Mulgrave Road,BZ24A - Non-Surgical Ophthalmology with length of stay 2 days or more and age 19 years and over,180 - Accident & Emergency,"3,135.45"
H85019,GP Centre - Longley,"CZ21Y - Minor Head, Neck and Ear Disorders 19 years and over without CC",100 - General Surgery,702.2
H85020,Church Lane  ,"CZ23Y - Major Head, Neck and Ear Disorders 19 years and over without CC",120 - Ear Nose & Throat,457.45
H85021,Chesser Practice,"DZ11A - Lobar, Atypical or Viral Pneumonia with Major CC",300 - General Medicine,"3,949.71"
H85021,Chesser Practice,"DZ11A - Lobar, Atypical or Viral Pneumonia with Major CC",300 - General Medicine,987.43
H85022,Park Road Medical Centre,DZ15F - Asthma without CC without Intubation,410 - Rheumatology,"1,021.70"
H85022,Park Road Medical Centre,DZ17A - Respiratory Neoplasms with Major CC,370 - Medical Oncology,"4,116.03"
H85023,Bishopsford Road Practice,DZ22A - Unspecified Acute Lower Respiratory Infection with Major CC,370 - Medical Oncology,"3,521.58"
H85024,Mitcham Medical Centre,EA31Z - Percutaneous Coronary Intervention (0-2 Stents),320 - Cardiology,"4,981.97"
H85025,Wrythe Green Surgery,EA36A - Catheter 19 years and over,320 - Cardiology,"4,127.72"
H85026,Francis Grove Surgery,EB01Z - Non interventional acquired cardiac conditions 19 years and over,180 - Accident & Emergency,710.39
H85027,Wimbledon Village Surgery,EB01Z - Non interventional acquired cardiac conditions 19 years and over,180 - Accident & Emergency,680.67
H85028,Princes Road Surgery,EB01Z - Non interventional acquired cardiac conditions 19 years and over,320 - Cardiology,956.13
H85029,Wide Way Medical Centre,EB03I - Heart Failure or Shock without CC,180 - Accident & Emergency,762.72
H85030,Drs Elliott Grice and Partners,FZ12C - General Abdominal - Very Major or Major Procedures without CC,100 - General Surgery,"4,329.91"
H85031,Benhill and Belmont,FZ13A - General Abdominal - Diagnostic Procedures with CC,300 - General Medicine,"11,438.88"
H85032,Carshalton Fields,FZ20C - Appendicectomy Procedures 18 years and under,100 - General Surgery,"2,614.46"
H85033,Tamworth House Medical Centre,FZ39E - Hernia Disorders with length of stay 1 day or more without Major CC,100 - General Surgery,"1,940.99"
H85034,Pepys Road Surgery,FZ47C - Non - Malignant General Abdominal Disorders with length of stay 0 days,100 - General Surgery,546.02
H85035,Rowans Surgery,FZ47C - Non - Malignant General Abdominal Disorders with length of stay 0 days,180 - Accident & Emergency,546.02
H85016,Cannon Hill Lane Practice,GC03A - Liver and Pancreatic Disorders category 5 with CC,430 - Geriatric Medicine,"3,780.42"
H85018,Mulgrave Road,GC12A - Malignant Liver and Pancreatic Disorders with length of stay 2 days or more,370 - Medical Oncology,"3,403.43"
H85019,GP Centre - Longley,HA71C - Major Elbow and Lower Arm Procedures for Trauma without CC,110 - Trauma & Orthopaedics,"4,111.85"
H85020,Church Lane  ,HC12Z - Intradural Spine Minor 1,410 - Rheumatology,"4,731.00"
H85021,Chesser Practice,AA21Z - Intracranial Procedures Except Trauma with Other Diagnoses - category 1 or 2,400 - Neurology,"16,752.48"
H85021,Chesser Practice,"AA22Z - Non-Transient Stroke or Cerebrovascular Accident, Nervous system infections or Encephalopathy",300 - General Medicine,"1,106.35"
H85022,Park Road Medical Centre,"AA26Z - Muscular, Balance, Cranial or Peripheral Nerve disorders; Epilepsy; Head Injury",180 - Accident & Emergency,563.42
H85022,Park Road Medical Centre,AA29Z - Transient Ischaemic Attack,100 - General Surgery,701.18
H85023,Bishopsford Road Practice,"CZ21V - Minor Head, Neck and Ear Disorders 19 years and over with CC",180 - Accident & Emergency,505.37
H85024,Mitcham Medical Centre,DZ15E - Asthma with CC without Intubation,180 - Accident & Emergency,726.4
H85025,Wrythe Green Surgery,DZ22A - Unspecified Acute Lower Respiratory Infection with Major CC,300 - General Medicine,"3,446.61"
H85026,Francis Grove Surgery,EB01Z - Non interventional acquired cardiac conditions 19 years and over,180 - Accident & Emergency,676.19
H85027,Wimbledon Village Surgery,EB01Z - Non interventional acquired cardiac conditions 19 years and over,180 - Accident & Emergency,680.67
H85028,Princes Road Surgery,EB01Z - Non interventional acquired cardiac conditions 19 years and over,300 - General Medicine,676.19
H85029,Wide Way Medical Centre,EB01Z - Non interventional acquired cardiac conditions 19 years and over,300 - General Medicine,956.13
H85030,Drs Elliott Grice and Partners,EB01Z - Non interventional acquired cardiac conditions 19 years and over,350 - Infectious Diseases,710.39
H85031,Benhill and Belmont,EB07I - Arrhythmia or Conduction Disorders without CC,410 - Rheumatology,"1,477.12"
H85032,Carshalton Fields,EB08H - Syncope or Collapse with CC,410 - Rheumatology,"2,759.91"
H85033,Tamworth House Medical Centre,EB08I - Syncope or Collapse without CC,180 - Accident & Emergency,560.89
H85034,Pepys Road Surgery,EB08I - Syncope or Collapse without CC,300 - General Medicine,525.24
H85035,Rowans Surgery,FZ09A - Proximal colon procedures with Major CC,300 - General Medicine,"9,012.92"
H85016,Cannon Hill Lane Practice,FZ13A - General Abdominal - Diagnostic Procedures with CC,300 - General Medicine,"5,371.99"
H85018,Mulgrave Road,FZ13A - General Abdominal - Diagnostic Procedures with CC,410 - Rheumatology,"4,595.87"
H85019,GP Centre - Longley,FZ20B - Appendicectomy Procedures 19 years and over without Major CC,100 - General Surgery,"2,724.14"
H85020,Church Lane  ,FZ24D - Major Therapeutic Open or Endoscopic Procedures 18 years and under,171 - Paediatric Surgery,"2,521.90"
H85021,Chesser Practice,FZ29Z - Major or Therapeutic Endoscopic Procedures for Gastrointestinal Bleed,300 - General Medicine,"2,778.98"
H85021,Chesser Practice,FZ45A - Non-Malignant Large Intestinal Disorders with length of stay 1 day or more with Major CC,301 - Gastroenterology,"3,368.20"
H85022,Park Road Medical Centre,FZ47A - Non-Malignant General Abdominal Disorders with length of stay 1 day or more with Major CC,180 - Accident & Emergency,"2,727.72"
H85022,Park Road Medical Centre,FZ47B - Non-Malignant General Abdominal Disorders with length of stay 1 day or more without Major CC,100 - General Surgery,"1,434.20"
H85023,Bishopsford Road Practice,AA25Z - Cerebral Degenerations or Miscellaneous Disorders of Nervous System,300 - General Medicine,"3,766.11"
H85024,Mitcham Medical Centre,"AA26Z - Muscular, Balance, Cranial or Peripheral Nerve disorders; Epilepsy; Head Injury",180 - Accident & Emergency,539.85
H85025,Wrythe Green Surgery,"AA26Z - Muscular, Balance, Cranial or Peripheral Nerve disorders; Epilepsy; Head Injury",300 - General Medicine,"2,123.28"
H85026,Francis Grove Surgery,"AA26Z - Muscular, Balance, Cranial or Peripheral Nerve disorders; Epilepsy; Head Injury",301 - Gastroenterology,"2,159.38"
H85027,Wimbledon Village Surgery,AA29Z - Transient Ischaemic Attack,400 - Neurology,"1,584.68"
H85028,Princes Road Surgery,BZ08B - Orbits / lacrimal category 3: 18 years and under,120 - Ear Nose & Throat,"3,461.56"
H85029,Wide Way Medical Centre,CZ01T - Minor Mouth Procedures 18 years and under without CC,420 - Paediatrics,"1,165.17"
H85030,Drs Elliott Grice and Partners,"DZ11A - Lobar, Atypical or Viral Pneumonia with Major CC",300 - General Medicine,987.43
H85031,Benhill and Belmont,"DZ11A - Lobar, Atypical or Viral Pneumonia with Major CC",300 - General Medicine,"3,949.71"
H85032,Carshalton Fields,DZ15E - Asthma with CC without Intubation,300 - General Medicine,"1,614.22"
H85033,Tamworth House Medical Centre,EA31Z - Percutaneous Coronary Intervention (0-2 Stents),170 - Cardiothoracic Surgery,"4,981.97"
H85034,Pepys Road Surgery,EB01Z - Non interventional acquired cardiac conditions 19 years and over,180 - Accident & Emergency,710.39
H85035,Rowans Surgery,EB01Z - Non interventional acquired cardiac conditions 19 years and over,300 - General Medicine,669.29
H85016,Cannon Hill Lane Practice,EB03I - Heart Failure or Shock without CC,300 - General Medicine,"3,050.87"
H85018,Mulgrave Road,EB07I - Arrhythmia or Conduction Disorders without CC,430 - Geriatric Medicine,"1,567.82"
H85019,GP Centre - Longley,EB11Z - Deep Vein Thrombosis,320 - Cardiology,"1,688.75"
H85020,Church Lane  ,FZ37E - Inflammatory Bowel Disease with length of stay 1 day or more without Major CC,300 - General Medicine,"1,952.80"
H85021,Chesser Practice,FZ45C - Non-Malignant Large Intestinal Disorders with length of stay 0 days,340 - Respiratory Medicine,602.59
H85021,Chesser Practice,FZ47B - Non-Malignant General Abdominal Disorders with length of stay 1 day or more without Major CC,100 - General Surgery,"1,434.20"
H85022,Park Road Medical Centre,GC03A - Liver and Pancreatic Disorders category 5 with CC,300 - General Medicine,"3,780.42"
H85022,Park Road Medical Centre,HA53Z - Intermediate Hand Procedures for Trauma Category 2,110 - Trauma & Orthopaedics,"2,820.71"
H85023,Bishopsford Road Practice,HA71C - Major Elbow and Lower Arm Procedures for Trauma without CC,110 - Trauma & Orthopaedics,"4,143.79"
H85024,Mitcham Medical Centre,HC04A - Extradural Spine Intermediate 1 with Major CC,110 - Trauma & Orthopaedics,"4,839.08"
H85025,Wrythe Green Surgery,HC24B - Thoracic or Lumbar Spinal Disorders with CC,180 - Accident & Emergency,551.68
H85026,Francis Grove Surgery,HD36B - Pathological Fractures or Malignancy of Bone and Connective Tissue with CC,100 - General Surgery,"3,708.89"
H85027,Wimbledon Village Surgery,"AA22Z - Non-Transient Stroke or Cerebrovascular Accident, Nervous system infections or Encephalopathy",300 - General Medicine,"4,923.72"
H85028,Princes Road Surgery,"AA22Z - Non-Transient Stroke or Cerebrovascular Accident, Nervous system infections or Encephalopathy",400 - Neurology,"4,500.63"
H85029,Wide Way Medical Centre,AA23Z - Haemorrhagic Cerebrovascular Disorders,400 - Neurology,"4,339.37"
H85030,Drs Elliott Grice and Partners,"AA26Z - Muscular, Balance, Cranial or Peripheral Nerve disorders; Epilepsy; Head Injury",180 - Accident & Emergency,546.78
H85031,Benhill and Belmont,"AA26Z - Muscular, Balance, Cranial or Peripheral Nerve disorders; Epilepsy; Head Injury",430 - Geriatric Medicine,"2,145.17"
H85032,Carshalton Fields,"CZ23X - Major Head, Neck and Ear Disorders 19 years and over with Intermediate CC",300 - General Medicine,723.72
H85033,Tamworth House Medical Centre,"DZ11A - Lobar, Atypical or Viral Pneumonia with Major CC",300 - General Medicine,"3,949.71"
H85034,Pepys Road Surgery,DZ21J - Chronic Obstructive Pulmonary Disease or Bronchitis without NIV without Intubation with CC,300 - General Medicine,"2,732.49"
H85035,Rowans Surgery,DZ21K - Chronic Obstructive Pulmonary Disease or Bronchitis without NIV without Intubation without CC,300 - General Medicine,"2,094.67"
H85016,Cannon Hill Lane Practice,DZ22A - Unspecified Acute Lower Respiratory Infection with Major CC,430 - Geriatric Medicine,"3,446.61"
H85018,Mulgrave Road,DZ22B - Unspecified Acute Lower Respiratory Infection with CC,180 - Accident & Emergency,614.62
H85019,GP Centre - Longley,DZ24A - Inhalation Lung Injury or Foreign Body with Major CC,430 - Geriatric Medicine,"4,960.68"
H85020,Church Lane  ,DZ27E - Respiratory Failure without Intubation with CC,300 - General Medicine,"3,104.45"
H85021,Chesser Practice,"EA16Z - Coronary Artery Bypass Graft (First Time) with Percutaneous Coronary Intervention, Pacing, EP or RFA +/- Catheterisation",320 - Cardiology,"15,503.28"
H85021,Chesser Practice,EB01Z - Non interventional acquired cardiac conditions 19 years and over,300 - General Medicine,669.29
H85022,Park Road Medical Centre,EB01Z - Non interventional acquired cardiac conditions 19 years and over,302 - Endocrinology,680.67
H85022,Park Road Medical Centre,EB01Z - Non interventional acquired cardiac conditions 19 years and over,361 - Nephrology,669.29
H85023,Bishopsford Road Practice,EB07I - Arrhythmia or Conduction Disorders without CC,300 - General Medicine,"1,477.12"
H85024,Mitcham Medical Centre,EB07I - Arrhythmia or Conduction Disorders without CC,300 - General Medicine,664.7
H85025,Wrythe Green Surgery,EB07I - Arrhythmia or Conduction Disorders without CC,320 - Cardiology,664.7
H85026,Francis Grove Surgery,EB08H - Syncope or Collapse with CC,410 - Rheumatology,"3,507.41"
H85027,Wimbledon Village Surgery,EB08I - Syncope or Collapse without CC,180 - Accident & Emergency,"1,174.30"
H85028,Princes Road Surgery,EB10Z - Actual or Suspected Myocardial Infarction,300 - General Medicine,"1,144.80"
H85029,Wide Way Medical Centre,FZ25B - Therapeutic Endoscopic or Intermediate Stomach or Duodenum Procedures 18 years and under,420 - Paediatrics,"1,440.16"
H85030,Drs Elliott Grice and Partners,FZ37D - Inflammatory Bowel Disease with length of stay 1 day or more with Major CC,301 - Gastroenterology,"2,914.74"
H85031,Benhill and Belmont,HC24B - Thoracic or Lumbar Spinal Disorders with CC,110 - Trauma & Orthopaedics,"2,155.85"
H85032,Carshalton Fields,HD26A - Musculoskeletal Signs and Symptoms with Major CC,180 - Accident & Emergency,"3,857.91"
H85033,Tamworth House Medical Centre,HR06B - Reconstruction Procedures Category 1 18 years and under,110 - Trauma & Orthopaedics,"10,428.66"
H85034,Pepys Road Surgery,LA04F - Kidney or Urinary Tract Infections with length of stay 2 days or more without CC,410 - Rheumatology,"1,790.66"
H85035,Rowans Surgery,LA04G - Kidney or Urinary Tract Infections with length of stay less 1 day or less,300 - General Medicine,612.78
H85016,Cannon Hill Lane Practice,LB15C - Bladder Minor Procedure 19 years and over without CC,501 - Obstetrics,698.62
H85018,Mulgrave Road,NZ01F - Normal delivery between 16 and 40 years without CC,501 - Obstetrics,"1,473.54"
H85019,GP Centre - Longley,NZ01F - Normal delivery between 16 and 40 years without CC,501 - Obstetrics,"1,473.54"
H85020,Church Lane  ,NZ01F - Normal delivery between 16 and 40 years without CC,501 - Obstetrics,"1,473.54"
H85021,Chesser Practice,NZ01F - Normal delivery between 16 and 40 years without CC,560 - Midwife Episode,"1,473.54"
H85021,Chesser Practice,NZ01F - Normal delivery between 16 and 40 years without CC,560 - Midwife Episode,"1,473.54"
H85022,Park Road Medical Centre,NZ01F - Normal delivery between 16 and 40 years without CC,560 - Midwife Episode,"1,473.54"
H85022,Park Road Medical Centre,NZ02B - Assisted delivery without CC,501 - Obstetrics,"2,163.82"
H85023,Bishopsford Road Practice,NZ02B - Assisted delivery without CC,501 - Obstetrics,"2,163.82"
H85024,Mitcham Medical Centre,NZ03C - Caesarean Section with complications,501 - Obstetrics,"3,857.91"
H85025,Wrythe Green Surgery,NZ03D - Caesarean Section between 16 and 40 years,501 - Obstetrics,"2,835.02"
H85026,Francis Grove Surgery,NZ04C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 0 days,501 - Obstetrics,391.04
H85027,Wimbledon Village Surgery,NZ04C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 0 days,501 - Obstetrics,391.04
H85028,Princes Road Surgery,NZ05C - Ante-natal or Post-natal Investigation age between 16 and 40 years with length of stay 0 days,501 - Obstetrics,554.37
H85029,Wide Way Medical Centre,NZ08C - Ante-natal or Post-natal Investigation age between 16 and 40 years with length of stay 1 day or more,501 - Obstetrics,987.13
H85030,Drs Elliott Grice and Partners,PA02A - Epilepsy Syndrome with CC,420 - Paediatrics,"1,227.95"
H85031,Benhill and Belmont,PA03B - Febrile Convulsions 1 year and over,420 - Paediatrics,692.31
H85032,Carshalton Fields,PA14D - Lower Respiratory Tract Disorders without Acute Bronchiolitis with length of stay 1 day or more without CC,420 - Paediatrics,"1,255.37"
H85033,Tamworth House Medical Centre,PA19A - Viral Infections with length of stay 1 day or less,420 - Paediatrics,581.79
H85034,Pepys Road Surgery,PA26A - Other Gastrointestinal or Metabolic Disorders with CC,420 - Paediatrics,"1,292.33"
H85035,Rowans Surgery,GC03A - Liver and Pancreatic Disorders category 5 with CC,301 - Gastroenterology,"3,894.05"
H85016,Cannon Hill Lane Practice,GC09B - Pancreatic and Biliary Disorders Category 6 without Major CC,100 - General Surgery,"2,455.90"
H85018,Mulgrave Road,HA51Z - Major Hand Procedures for Trauma Category 2,110 - Trauma & Orthopaedics,"4,930.88"
H85019,GP Centre - Longley,HA92Z - Knee Trauma Diagnosis without Procedure,361 - Nephrology,"1,335.25"
H85020,Church Lane  ,"HD31C - Sprains, Strains, or Minor Open Wounds without CC",180 - Accident & Emergency,585.36
H85021,Chesser Practice,HD36A - Pathological Fractures or Malignancy of Bone and Connective Tissue with Major CC,410 - Rheumatology,"5,522.20"
H85021,Chesser Practice,HD37B - Head Injury with CC,180 - Accident & Emergency,785.67
H85022,Park Road Medical Centre,HD37B - Head Injury with CC,300 - General Medicine,540.78
H85022,Park Road Medical Centre,JC03C - Major Skin Procedures category 1 without CC,160 - Plastic Surgery,"2,184.84"
H85023,Bishopsford Road Practice,JC06A - Minor Skin Procedures category 2 with Major CC,301 - Gastroenterology,"5,027.47"
H85024,Mitcham Medical Centre,JC16Z - Skin Therapies level 4,160 - Plastic Surgery,"1,150.62"
H85025,Wrythe Green Surgery,KC03C - Disorders of Nutrition 84 years and under without Major CC,180 - Accident & Emergency,737.96
H85026,Francis Grove Surgery,KC04Z - Inborn Errors of Metabolism,823 - Not A Treatment Function,550.19
H85027,Wimbledon Village Surgery,LB15B - Bladder Minor Procedure 19 years and over with Intermediate CC,180 - Accident & Emergency,999.05
H85028,Princes Road Surgery,LB15C - Bladder Minor Procedure 19 years and over without CC,501 - Obstetrics,698.62
H85029,Wide Way Medical Centre,NZ01E - Normal delivery between 16 and 40 years with CC,560 - Midwife Episode,"2,272.30"
H85030,Drs Elliott Grice and Partners,NZ01F - Normal delivery between 16 and 40 years without CC,501 - Obstetrics,"1,473.54"
H85031,Benhill and Belmont,NZ01F - Normal delivery between 16 and 40 years without CC,501 - Obstetrics,"1,473.54"
H85032,Carshalton Fields,NZ01F - Normal delivery between 16 and 40 years without CC,560 - Midwife Episode,"1,473.54"
H85033,Tamworth House Medical Centre,NZ02A - Assisted delivery with CC,501 - Obstetrics,"2,917.28"
H85034,Pepys Road Surgery,NZ02A - Assisted delivery with CC,501 - Obstetrics,"2,917.28"
H85035,Rowans Surgery,NZ02B - Assisted delivery without CC,501 - Obstetrics,"2,163.82"
H85016,Cannon Hill Lane Practice,NZ03C - Caesarean Section with complications,501 - Obstetrics,"3,857.91"
H85018,Mulgrave Road,NZ03C - Caesarean Section with complications,501 - Obstetrics,"3,857.91"
H85019,GP Centre - Longley,NZ03D - Caesarean Section between 16 and 40 years,501 - Obstetrics,"2,835.02"
H85020,Church Lane  ,NZ04C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 0 days,501 - Obstetrics,391.04
H85021,Chesser Practice,NZ04C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 0 days,560 - Midwife Episode,391.04
H85021,Chesser Practice,FZ37E - Inflammatory Bowel Disease with length of stay 1 day or more without Major CC,300 - General Medicine,796.42
H85022,Park Road Medical Centre,FZ37F - Inflammatory Bowel Disease with length of stay 0 days,300 - General Medicine,560.33
H85022,Park Road Medical Centre,FZ43B - Non-Malignant Stomach or Duodenum Disorders with length of stay 1 day or more without Major CC,300 - General Medicine,"1,907.50"
H85023,Bishopsford Road Practice,FZ45B - Non-Malignant Large Intestinal Disorders with length of stay 1 day or more without Major CC,180 - Accident & Emergency,881.44
H85024,Mitcham Medical Centre,FZ46A - Malignant Large Intestinal Disorders with length of stay 1 day or more with Major CC,370 - Medical Oncology,"4,442.48"
H85025,Wrythe Green Surgery,GB02A - Endoscopic/Radiology category 3 with Major CC,410 - Rheumatology,"6,645.24"
H85026,Francis Grove Surgery,GC03A - Liver and Pancreatic Disorders category 5 with CC,300 - General Medicine,"3,780.42"
H85027,Wimbledon Village Surgery,HA91Z - Hip Trauma Diagnosis without Procedure,110 - Trauma & Orthopaedics,"1,968.11"
H85028,Princes Road Surgery,HC24B - Thoracic or Lumbar Spinal Disorders with CC,180 - Accident & Emergency,551.68
H85029,Wide Way Medical Centre,HD21A - Soft Tissue Disorders with Major CC,180 - Accident & Emergency,658.38
H85030,Drs Elliott Grice and Partners,HD21B - Soft Tissue Disorders with CC,180 - Accident & Emergency,550.79
H85031,Benhill and Belmont,HD37B - Head Injury with CC,180 - Accident & Emergency,540.78
H85032,Carshalton Fields,JC03A - Major Skin Procedures category 1 with Major CC,430 - Geriatric Medicine,"6,824.07"
H85033,Tamworth House Medical Centre,JC04A - Intermediate Skin Procedures with Major CC,300 - General Medicine,"4,303.00"
H85034,Pepys Road Surgery,JC06C - Minor Skin Procedures category 2 without CC,100 - General Surgery,"1,274.17"
H85035,Rowans Surgery,LA07A - Acute Renal Failure with Major CC,300 - General Medicine,"4,836.69"
H85016,Cannon Hill Lane Practice,LB10Z - Bladder Major Open Procedures / Reconstruction,501 - Obstetrics,"7,231.79"
H85018,Mulgrave Road,LB37A - Miscellaneous Urinary Tract Findings with CC,180 - Accident & Emergency,527.42
H85019,GP Centre - Longley,"MB04B - Ovary, Fallopian Tube or Pelvic Disorders without CC",501 - Obstetrics,"2,207.61"
H85020,Church Lane  ,NZ01F - Normal delivery between 16 and 40 years without CC,560 - Midwife Episode,"1,473.54"
H85021,Chesser Practice,NZ01F - Normal delivery between 16 and 40 years without CC,560 - Midwife Episode,"1,914.65"
H85021,Chesser Practice,NZ01F - Normal delivery between 16 and 40 years without CC,560 - Midwife Episode,"1,473.54"
H85022,Park Road Medical Centre,NZ01H - Normal delivery under 16 or over 40 years without CC,501 - Obstetrics,"1,534.34"
H85022,Park Road Medical Centre,NZ03C - Caesarean Section with complications,501 - Obstetrics,"3,857.91"
