Consortia_Name,PracticeName,HRG,Specialty_Name,SLA_Total_Cost
H85016,Cannon Hill Lane Practice,NZ03D - Caesarean Section between 16 and 40 years,501 - Obstetrics,"2,835.02"
H85018,Mulgrave Road,NZ04C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 0 days,501 - Obstetrics,391.04
H85019,GP Centre - Longley,NZ04C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 0 days,501 - Obstetrics,391.04
H85020,Church Lane  ,NZ04C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 0 days,501 - Obstetrics,391.04
H85021,Chesser Practice,NZ04C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 0 days,501 - Obstetrics,391.04
H85021,Chesser Practice,NZ04C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 0 days,560 - Midwife Episode,391.04
H85022,Park Road Medical Centre,FZ33C - Small Intestinal Disorders (excluding Inflammatory Bowel Disease) with length of stay 1 day or more with CC,100 - General Surgery,"4,446.00"
H85022,Park Road Medical Centre,FZ47C - Non - Malignant General Abdominal Disorders with length of stay 0 days,101 - Urology,526
H85023,Bishopsford Road Practice,HA71C - Major Elbow and Lower Arm Procedures for Trauma without CC,110 - Trauma & Orthopaedics,"4,496.00"
H85024,Mitcham Medical Centre,"HA81C - Sprains, Strains, or Minor Open Wounds without CC",180 - Accident & Emergency,"1,042.00"
H85025,Wrythe Green Surgery,HD25C - Infections of Bones or Joints without CC,110 - Trauma & Orthopaedics,766
H85026,Francis Grove Surgery,LA04E - Kidney or Urinary Tract Infections with length of stay 2 days or more with Intermediate CC,300 - General Medicine,"2,685.00"
H85027,Wimbledon Village Surgery,LA04F - Kidney or Urinary Tract Infections with length of stay 2 days or more without CC,300 - General Medicine,"1,707.00"
H85028,Princes Road Surgery,LA07G - Acute Kidney Injury with Intermediate CC without Interventions,430 - Geriatric Medicine,"2,738.00"
H85029,Wide Way Medical Centre,LA09G - General Renal Disorders with length of stay 2 days or more without CC,430 - Geriatric Medicine,"1,552.00"
H85030,Drs Elliott Grice and Partners,NZ04C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 0 days,501 - Obstetrics,434
H85031,Benhill and Belmont,NZ04C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 0 days,501 - Obstetrics,434
H85032,Carshalton Fields,NZ04C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 0 days,560 - Midwife Episode,434
H85033,Tamworth House Medical Centre,NZ05C - Ante-natal or Post-natal Investigation age between 16 and 40 years with length of stay 0 days,501 - Obstetrics,453
H85034,Pepys Road Surgery,NZ05C - Ante-natal or Post-natal Investigation age between 16 and 40 years with length of stay 0 days,501 - Obstetrics,453
H85035,Rowans Surgery,NZ07C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 1 day or more,560 - Midwife Episode,928
H85016,Cannon Hill Lane Practice,NZ12E - Assisted Delivery with Induction with CC,501 - Obstetrics,"2,965.00"
H85018,Mulgrave Road,NZ12E - Assisted Delivery with Induction with CC,501 - Obstetrics,"2,965.00"
H85019,GP Centre - Longley,NZ13B - Planned Lower Uterine Caesarean Section without CC,501 - Obstetrics,"2,575.00"
H85020,Church Lane  ,NZ13B - Planned Lower Uterine Caesarean Section without CC,501 - Obstetrics,"2,575.00"
H85021,Chesser Practice,PA16B - Major Infections without CC,420 - Paediatrics,"3,017.00"
H85021,Chesser Practice,PA50Z - Ingestion Poisoning or Allergies,420 - Paediatrics,595
H85022,Park Road Medical Centre,PA50Z - Ingestion Poisoning or Allergies,430 - Geriatric Medicine,595
H85022,Park Road Medical Centre,PA68Z - Diabetes Mellitus without Ketoacidosis or Coma,420 - Paediatrics,"1,122.00"
H85023,Bishopsford Road Practice,QZ15A - Therapeutic Endovascular Procedures with Major CC,100 - General Surgery,"12,229.00"
H85024,Mitcham Medical Centre,QZ17B - Non-Surgical Peripheral Vascular Disease with Intermediate CC,100 - General Surgery,"3,565.00"
H85025,Wrythe Green Surgery,"VA10A - Multiple trauma diagnoses, score <=23 with no interventions",110 - Trauma & Orthopaedics,879
H85026,Francis Grove Surgery,WA18V - Admission for unexplained symptoms with Major CC,180 - Accident & Emergency,"3,977.00"
H85027,Wimbledon Village Surgery,WD11Z - All Patients older than 69 years with a Mental Health Primary Diagnosis [treated by a Non-Specialist Mental Health Service Provider],300 - General Medicine,"3,584.00"
H85028,Princes Road Surgery,WD11Z - All Patients older than 69 years with a Mental Health Primary Diagnosis [treated by a Non-Specialist Mental Health Service Provider],410 - Rheumatology,"3,584.00"
H85029,Wide Way Medical Centre,NZ04C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 0 days,560 - Midwife Episode,391.04
H85030,Drs Elliott Grice and Partners,NZ04C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 0 days,560 - Midwife Episode,391.04
H85031,Benhill and Belmont,NZ04C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 0 days,560 - Midwife Episode,391.04
H85032,Carshalton Fields,NZ05C - Ante-natal or Post-natal Investigation age between 16 and 40 years with length of stay 0 days,501 - Obstetrics,554.37
H85033,Tamworth House Medical Centre,NZ05C - Ante-natal or Post-natal Investigation age between 16 and 40 years with length of stay 0 days,502 - Gynaecology,491.55
H85034,Pepys Road Surgery,NZ05C - Ante-natal or Post-natal Investigation age between 16 and 40 years with length of stay 0 days,560 - Midwife Episode,554.37
H85035,Rowans Surgery,NZ05C - Ante-natal or Post-natal Investigation age between 16 and 40 years with length of stay 0 days,560 - Midwife Episode,554.37
H85016,Cannon Hill Lane Practice,NZ07C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 1 day or more,501 - Obstetrics,878.64
H85018,Mulgrave Road,NZ08C - Ante-natal or Post-natal Investigation age between 16 and 40 years with length of stay 1 day or more,300 - General Medicine,987.13
H85019,GP Centre - Longley,NZ08C - Ante-natal or Post-natal Investigation age between 16 and 40 years with length of stay 1 day or more,501 - Obstetrics,987.13
H85020,Church Lane  ,NZ08C - Ante-natal or Post-natal Investigation age between 16 and 40 years with length of stay 1 day or more,501 - Obstetrics,987.13
H85021,Chesser Practice,PA02A - Epilepsy Syndrome with CC,420 - Paediatrics,"1,303.36"
H85021,Chesser Practice,PA02A - Epilepsy Syndrome with CC,420 - Paediatrics,"1,248.83"
H85022,Park Road Medical Centre,PA03B - Febrile Convulsions 1 year and over,420 - Paediatrics,680.74
H85022,Park Road Medical Centre,PA15B - Acute Bronchiolitis without CC,420 - Paediatrics,"2,459.48"
H85023,Bishopsford Road Practice,PA15B - Acute Bronchiolitis without CC,420 - Paediatrics,"1,124.23"
H85024,Mitcham Medical Centre,PA17A - Intermediate Infections with CC,420 - Paediatrics,"1,568.92"
H85025,Wrythe Green Surgery,PA19B - Viral Infections with length of stay 2 days or more,420 - Paediatrics,"1,487.85"
H85026,Francis Grove Surgery,PA29Z - Abdominal Pain,420 - Paediatrics,690.28
H85027,Wimbledon Village Surgery,PA32A - Minor Injury without Intracranial Injury with CC,420 - Paediatrics,723.27
H85028,Princes Road Surgery,"PA57Z - Examination, follow-up, special screening and other admissions with length of stay 1 day or more",120 - Ear Nose & Throat,985.73
H85029,Wide Way Medical Centre,"PA63B - Head, Neck and Ear Disorders with length of stay 1 day or more with CC",420 - Paediatrics,"1,275.52"
H85030,Drs Elliott Grice and Partners,PB02Z - Minor Neonatal Diagnoses,420 - Paediatrics,"1,287.58"
H85031,Benhill and Belmont,PB02Z - Minor Neonatal Diagnoses,420 - Paediatrics,"1,274.45"
H85032,Carshalton Fields,QZ13A - Vascular Access for Renal Replacement Therapy with CC,823 - Not A Treatment Function,"3,143.79"
H85033,Tamworth House Medical Centre,NZ05C - Ante-natal or Post-natal Investigation age between 16 and 40 years with length of stay 0 days,501 - Obstetrics,554.37
H85034,Pepys Road Surgery,NZ05C - Ante-natal or Post-natal Investigation age between 16 and 40 years with length of stay 0 days,560 - Midwife Episode,554.37
H85035,Rowans Surgery,NZ05C - Ante-natal or Post-natal Investigation age between 16 and 40 years with length of stay 0 days,560 - Midwife Episode,554.37
H85016,Cannon Hill Lane Practice,NZ07C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 1 day or more,501 - Obstetrics,878.64
H85018,Mulgrave Road,NZ07C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 1 day or more,501 - Obstetrics,878.64
H85019,GP Centre - Longley,NZ07C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 1 day or more,501 - Obstetrics,878.64
H85020,Church Lane  ,NZ07C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 1 day or more,502 - Gynaecology,921.11
H85021,Chesser Practice,NZ07C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 1 day or more,560 - Midwife Episode,878.64
H85021,Chesser Practice,NZ07C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 1 day or more,560 - Midwife Episode,878.64
H85022,Park Road Medical Centre,NZ08C - Ante-natal or Post-natal Investigation age between 16 and 40 years with length of stay 1 day or more,501 - Obstetrics,987.13
H85022,Park Road Medical Centre,NZ08C - Ante-natal or Post-natal Investigation age between 16 and 40 years with length of stay 1 day or more,501 - Obstetrics,"1,003.91"
H85023,Bishopsford Road Practice,NZ08C - Ante-natal or Post-natal Investigation age between 16 and 40 years with length of stay 1 day or more,560 - Midwife Episode,987.13
H85024,Mitcham Medical Centre,PA07B - Head Injury without Intracranial Injury without CC,420 - Paediatrics,611.59
H85025,Wrythe Green Surgery,PA08A - Intermediate Injury without Intracranial Injury with CC,420 - Paediatrics,"1,345.98"
H85026,Francis Grove Surgery,PA14C - Lower Respiratory Tract Disorders without Acute Bronchiolitis with length of stay 1 day or more with CC,420 - Paediatrics,"2,749.18"
H85027,Wimbledon Village Surgery,PA15A - Acute Bronchiolitis with CC,420 - Paediatrics,"2,390.33"
H85028,Princes Road Surgery,PA20B - Fever unspecified without CC,420 - Paediatrics,735.58
H85029,Wide Way Medical Centre,PA21B - Infectious and Non-Infectious Gastroenteritis without CC,420 - Paediatrics,646.16
H85030,Drs Elliott Grice and Partners,PA21B - Infectious and Non-Infectious Gastroenteritis without CC,420 - Paediatrics,631.26
H85031,Benhill and Belmont,PA28B - Feeding Difficulties and Vomiting without CC,171 - Paediatric Surgery,733.65
H85032,Carshalton Fields,PA29Z - Abdominal Pain,100 - General Surgery,690.28
H85033,Tamworth House Medical Centre,PA29Z - Abdominal Pain,420 - Paediatrics,690.28
H85034,Pepys Road Surgery,PA50Z - Ingestion Poisoning or Allergies,180 - Accident & Emergency,603.44
H85035,Rowans Surgery,PA54Z - Convalescent or other relief care,420 - Paediatrics,"1,144.50"
H85016,Cannon Hill Lane Practice,QZ15A - Therapeutic Endovascular Procedures with Major CC,420 - Paediatrics,"11,390.14"
H85018,Mulgrave Road,QZ16B - Diagnostic Vascular Radiology and other transluminal Procedures with Intermediate CC,100 - General Surgery,"4,218.13"
H85019,GP Centre - Longley,SA01F - Aplastic Anaemia without CC,300 - General Medicine,"2,726.53"
H85020,Church Lane  ,"SA13Z - Single Plasma Exchange, Leucophoresis or Red Cell Exchange",400 - Neurology,"1,437.97"
H85021,Chesser Practice,WA03V - Septicaemia with Major CC,180 - Accident & Emergency,"15,319.58"
H85021,Chesser Practice,WA03V - Septicaemia with Major CC,300 - General Medicine,"3,519.33"
H85022,Park Road Medical Centre,"WA11V - Poisoning, toxic, environmental and unspecified effects with Major CC",301 - Gastroenterology,"2,667.40"
H85022,Park Road Medical Centre,"WA11Y - Poisoning, toxic, environmental and unspecified effects without CC",180 - Accident & Emergency,461.38
H85023,Bishopsford Road Practice,"WA11Y - Poisoning, toxic, environmental and unspecified effects without CC",180 - Accident & Emergency,461.38
H85024,Mitcham Medical Centre,WA12X - Complications of Procedures with Intermediate CC,100 - General Surgery,695.34
H85025,Wrythe Green Surgery,WA14Z - Planned Procedures not carried out,171 - Paediatric Surgery,0
H85026,Francis Grove Surgery,WD22Z - All Patients older than 19 years and younger than 69 years with a Mental Health Primary Diagnosis [treated by a Non-Specialist Mental Health Service P,180 - Accident & Emergency,"1,204.23"
H85027,Wimbledon Village Surgery,WD22Z - All Patients older than 19 years and younger than 69 years with a Mental Health Primary Diagnosis [treated by a Non-Specialist Mental Health Service P,180 - Accident & Emergency,"1,204.23"
H85028,Princes Road Surgery,"AA22Z - Non-Transient Stroke or Cerebrovascular Accident, Nervous system infections or Encephalopathy",300 - General Medicine,"3,583.00"
H85029,Wide Way Medical Centre,"AA22Z - Non-Transient Stroke or Cerebrovascular Accident, Nervous system infections or Encephalopathy",400 - Neurology,"3,643.00"
H85030,Drs Elliott Grice and Partners,AA31Z - Headache or Migraine,300 - General Medicine,552
H85031,Benhill and Belmont,CZ13V - Intermediate Nose Procedures 19 years and over with CC,120 - Ear Nose & Throat,"1,558.00"
H85032,Carshalton Fields,EA14Z - Coronary Artery Bypass Graft (First Time),170 - Cardiothoracic Surgery,"10,979.00"
H85033,Tamworth House Medical Centre,EA36A - Catheter 19 years and over,320 - Cardiology,"6,142.00"
H85034,Pepys Road Surgery,EB07I - Arrhythmia or Conduction Disorders without CC,300 - General Medicine,842
H85035,Rowans Surgery,EB07I - Arrhythmia or Conduction Disorders without CC,300 - General Medicine,"1,203.00"
H85016,Cannon Hill Lane Practice,EB07I - Arrhythmia or Conduction Disorders without CC,300 - General Medicine,"1,203.00"
H85018,Mulgrave Road,EB08H - Syncope or Collapse with CC,300 - General Medicine,"1,960.00"
H85019,GP Centre - Longley,FZ06A - Very Major Small Intestine Procedures with CC,100 - General Surgery,"9,905.00"
H85020,Church Lane  ,FZ22B - Intermediate Anal Procedures 18 years and under,100 - General Surgery,"1,372.00"
H85021,Chesser Practice,PA60D - Other Congenital Conditions under 1 year without CC,171 - Paediatric Surgery,"1,342.43"
H85021,Chesser Practice,PB02Z - Minor Neonatal Diagnoses,420 - Paediatrics,"1,274.45"
H85022,Park Road Medical Centre,PB02Z - Minor Neonatal Diagnoses,420 - Paediatrics,"1,274.45"
H85022,Park Road Medical Centre,SA09F - Other Red Blood Cell Disorders without CC,300 - General Medicine,"2,505.97"
H85023,Bishopsford Road Practice,"SA13Z - Single Plasma Exchange, Leucophoresis or Red Cell Exchange",560 - Midwife Episode,"1,413.93"
H85024,Mitcham Medical Centre,SA30Z - Plasma Cell Disorders,823 - Not A Treatment Function,"1,143.60"
H85025,Wrythe Green Surgery,UZ01Z - Data invalid for grouping,170 - Cardiothoracic Surgery,0
H85026,Francis Grove Surgery,WA03X - Septicaemia with Intermediate CC,300 - General Medicine,"1,984.99"
H85027,Wimbledon Village Surgery,WA03X - Septicaemia with Intermediate CC,300 - General Medicine,"1,984.99"
H85028,Princes Road Surgery,"WA11X - Poisoning, toxic, environmental and unspecified effects with Intermediate CC",180 - Accident & Emergency,509.9
H85029,Wide Way Medical Centre,"WA11X - Poisoning, toxic, environmental and unspecified effects with Intermediate CC",300 - General Medicine,509.9
H85030,Drs Elliott Grice and Partners,"WA11X - Poisoning, toxic, environmental and unspecified effects with Intermediate CC",300 - General Medicine,462.3
H85031,Benhill and Belmont,WA12X - Complications of Procedures with Intermediate CC,110 - Trauma & Orthopaedics,695.34
H85032,Carshalton Fields,WA18V - Admission for unexplained symptoms with Major CC,410 - Rheumatology,"3,835.26"
H85033,Tamworth House Medical Centre,WA23V - Falls without specific cause with Major CC,180 - Accident & Emergency,"4,327.63"
H85034,Pepys Road Surgery,WD22Z - All Patients older than 19 years and younger than 69 years with a Mental Health Primary Diagnosis [treated by a Non-Specialist Mental Health Service P,180 - Accident & Emergency,674
H85035,Rowans Surgery,"AA22Z - Non-Transient Stroke or Cerebrovascular Accident, Nervous system infections or Encephalopathy",300 - General Medicine,"3,583.00"
H85016,Cannon Hill Lane Practice,"AA22Z - Non-Transient Stroke or Cerebrovascular Accident, Nervous system infections or Encephalopathy",400 - Neurology,"3,643.00"
H85018,Mulgrave Road,"AA26Z - Muscular, Balance, Cranial or Peripheral Nerve disorders; Epilepsy; Head Injury",300 - General Medicine,"1,128.00"
H85019,GP Centre - Longley,"AA26Z - Muscular, Balance, Cranial or Peripheral Nerve disorders; Epilepsy; Head Injury",300 - General Medicine,"6,503.00"
H85020,Church Lane  ,"AA26Z - Muscular, Balance, Cranial or Peripheral Nerve disorders; Epilepsy; Head Injury",300 - General Medicine,"1,246.00"
H85021,Chesser Practice,CZ17V - Intermediate Maxillo-facial Procedures 19 years and over with CC,361 - Nephrology,"3,957.00"
H85021,Chesser Practice,"CZ21V - Minor Head, Neck and Ear Disorders 19 years and over with CC",100 - General Surgery,525
H85022,Park Road Medical Centre,DZ04A - Intermediate Thoracic Procedures with CC,170 - Cardiothoracic Surgery,"5,884.00"
H85022,Park Road Medical Centre,"DZ11B - Lobar, Atypical or Viral Pneumonia with CC",430 - Geriatric Medicine,"2,829.00"
H85023,Bishopsford Road Practice,FZ36F - Intestinal Infectious Disorders with length of stay 0 days,180 - Accident & Emergency,604
H85024,Mitcham Medical Centre,FZ39F - Hernia Disorders with length of stay 0 days,100 - General Surgery,548
H85025,Wrythe Green Surgery,FZ43C - Non-Malignant Stomach or Duodenum Disorders with length of stay 0 days,100 - General Surgery,471
H85026,Francis Grove Surgery,FZ44A - Malignant Stomach or Duodenum Disorders with length of stay 1 day or more with Major CC,300 - General Medicine,"4,598.00"
H85027,Wimbledon Village Surgery,FZ45C - Non-Malignant Large Intestinal Disorders with length of stay 0 days,180 - Accident & Emergency,538
H85028,Princes Road Surgery,FZ47C - Non - Malignant General Abdominal Disorders with length of stay 0 days,501 - Obstetrics,526
H85029,Wide Way Medical Centre,GB06B - Endoscopic Retrograde Cholangiopancreatography category 2 with length of stay 3 days or more with Intermediate CC,430 - Geriatric Medicine,"4,700.00"
H85030,Drs Elliott Grice and Partners,GC13B - Liver Disorders Category 3 with Intermediate CC,300 - General Medicine,769
H85031,Benhill and Belmont,HA73B - Minor Elbow and Lower Arm Procedures for Trauma 18 years and under,110 - Trauma & Orthopaedics,"1,341.00"
H85032,Carshalton Fields,"HA81C - Sprains, Strains, or Minor Open Wounds without CC",300 - General Medicine,403
H85033,Tamworth House Medical Centre,HA95Z - Hand Trauma Diagnosis without Procedure,180 - Accident & Emergency,715
H85034,Pepys Road Surgery,HB63Z - Minor Shoulder and Upper Arm Procedures for non Trauma,110 - Trauma & Orthopaedics,"1,699.00"
H85035,Rowans Surgery,HC27B - Degenerative Spinal Conditions with CC,410 - Rheumatology,"3,340.00"
H85016,Cannon Hill Lane Practice,JD03B - Intermediate Skin disorders with Intermediate CC,300 - General Medicine,"1,664.00"
H85018,Mulgrave Road,LB16A - Lower Urinary Tract Findings with Major CC,101 - Urology,"2,972.00"
H85019,GP Centre - Longley,NZ04C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 0 days,501 - Obstetrics,434
H85020,Church Lane  ,NZ04C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 0 days,501 - Obstetrics,434
H85021,Chesser Practice,NZ04C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 0 days,560 - Midwife Episode,434
H85021,Chesser Practice,NZ05C - Ante-natal or Post-natal Investigation age between 16 and 40 years with length of stay 0 days,501 - Obstetrics,453
H85022,Park Road Medical Centre,NZ05C - Ante-natal or Post-natal Investigation age between 16 and 40 years with length of stay 0 days,501 - Obstetrics,453
H85022,Park Road Medical Centre,NZ05C - Ante-natal or Post-natal Investigation age between 16 and 40 years with length of stay 0 days,560 - Midwife Episode,453
H85023,Bishopsford Road Practice,NZ07C - Ante-natal or Post-natal Observation age between 16 and 40 years with length of stay 1 day or more,501 - Obstetrics,928
H85024,Mitcham Medical Centre,NZ08C - Ante-natal or Post-natal Investigation age between 16 and 40 years with length of stay 1 day or more,501 - Obstetrics,"1,013.00"
H85025,Wrythe Green Surgery,NZ11B - Normal Delivery without CC,560 - Midwife Episode,"1,271.00"
H85026,Francis Grove Surgery,DZ16A - Pleural Effusion with Major CC,300 - General Medicine,"4,164.00"
H85027,Wimbledon Village Surgery,DZ19A - Other Respiratory Diagnoses with Major CC,300 - General Medicine,"2,281.00"
H85028,Princes Road Surgery,EA29Z - Complex Ablation (includes Atrial Fibrillation or Ventricular Tachycardia),320 - Cardiology,"9,005.00"
H85029,Wide Way Medical Centre,EB01Z - Non interventional acquired cardiac conditions 19 years and over,300 - General Medicine,892
H85030,Drs Elliott Grice and Partners,EB01Z - Non interventional acquired cardiac conditions 19 years and over,300 - General Medicine,647
H85031,Benhill and Belmont,EB01Z - Non interventional acquired cardiac conditions 19 years and over,300 - General Medicine,892
H85032,Carshalton Fields,EB07I - Arrhythmia or Conduction Disorders without CC,300 - General Medicine,"1,203.00"
H85033,Tamworth House Medical Centre,EB07I - Arrhythmia or Conduction Disorders without CC,300 - General Medicine,842
H85034,Pepys Road Surgery,FZ02Z - Very Major Oesophageal Procedures,300 - General Medicine,"7,341.00"
H85035,Rowans Surgery,FZ25B - Therapeutic Endoscopic or Intermediate Stomach or Duodenum Procedures 18 years and under,420 - Paediatrics,"1,187.00"
